epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
52,155.728,1.34701,0.15886,0.42904,0.54314,0.02618,7.00735,0.90339,0.9543,0.9553,0.51772,0.90339,0.9543,0.96354,0.95268,1.47095,0.12637,0.1613,0.47243,0.02811,0,0.0006634,0.0006634,0.0006634
53,158.503,1.37395,0.2151,0.50611,0.59627,0.02831,7.31061,0.86682,0.93878,0.93737,0.48208,0.92897,0.87755,0.94642,0.91858,1.5935,0.17868,0.18063,0.56852,0.031,0,0.0006568,0.0006568,0.0006568
54,161.254,1.39014,0.19428,0.47963,0.66995,0.02665,7.30856,0.85031,0.95918,0.96151,0.49381,0.9549,0.86433,0.96818,0.93354,1.60047,0.1808,0.18071,0.65496,0.03132,0,0.0006502,0.0006502,0.0006502
55,164.048,1.33376,0.15272,0.39585,0.61046,0.02705,7.02562,0.81026,0.95918,0.92669,0.45616,0.81026,0.95918,0.93676,0.9194,1.70607,0.135,0.19439,0.77708,0.03676,0,0.0006436,0.0006436,0.0006436
56,166.823,1.35647,0.11865,0.46051,0.56218,0.02781,6.58524,0.90725,0.93878,0.97392,0.52368,0.90725,0.93878,0.97486,0.96744,1.52725,0.08335,0.1843,0.53466,0.03253,0,0.000637,0.000637,0.000637
57,169.605,1.30961,0.19854,0.38032,0.52764,0.02661,7.44738,0.92293,0.97765,0.95444,0.58397,0.92293,0.97765,0.97102,0.95919,1.28832,0.09605,0.16899,0.44141,0.0256,0,0.0006304,0.0006304,0.0006304
58,172.359,1.42916,0.1439,0.4604,0.62749,0.02755,6.47331,0.92686,0.93878,0.96789,0.59026,0.96549,0.91837,0.97495,0.96478,1.26231,0.09951,0.16467,0.42661,0.02489,0,0.0006238,0.0006238,0.0006238
59,175.157,1.24502,0.14768,0.4448,0.54506,0.02422,6.5687,0.93995,0.95829,0.94085,0.56284,0.95437,0.95918,0.95665,0.94791,1.25977,0.10237,0.1543,0.41675,0.02459,0,0.0006172,0.0006172,0.0006172
60,177.915,1.29022,0.14993,0.44264,0.60216,0.02466,6.15079,0.9355,0.93878,0.94492,0.55524,0.9355,0.93878,0.96814,0.95166,1.39419,0.102,0.14481,0.4687,0.02819,0,0.0006106,0.0006106,0.0006106
61,180.692,1.2899,0.1223,0.5196,0.6498,0.02574,6.29679,0.86959,0.97959,0.95309,0.50692,0.86959,0.97959,0.97122,0.95901,1.51126,0.09417,0.14139,0.50685,0.03166,0,0.000604,0.000604,0.000604
