epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,84.5164,0.85304,0.6414,1.12935,0.96864,0.93614,0.96301,0.76742,0.75758,0.61334,1.03082,0.0005314,0.0005314,0.0005314
73,85.6484,0.82606,0.63049,1.09536,0.94027,0.95402,0.98015,0.78474,0.80856,0.55582,1.04514,0.0005248,0.0005248,0.0005248
74,86.7751,0.81374,0.62707,1.11255,0.9403,0.95454,0.98355,0.74208,0.91684,0.57934,1.05414,0.0005182,0.0005182,0.0005182
75,87.9133,0.80877,0.62995,1.07705,0.95453,0.95431,0.98633,0.75073,0.88717,0.55427,1.03257,0.0005116,0.0005116,0.0005116
76,89.0309,0.87556,0.62328,1.12806,0.96957,0.96554,0.98883,0.83068,0.64553,0.50084,0.94162,0.000505,0.000505,0.000505
77,90.1753,0.78951,0.59207,1.08057,0.95274,0.9697,0.98562,0.83278,0.63328,0.52369,0.94344,0.0004984,0.0004984,0.0004984
78,91.3004,0.85388,0.66765,1.11001,0.95511,0.96723,0.98549,0.82219,0.67842,0.53385,0.9575,0.0004918,0.0004918,0.0004918
79,92.4452,0.8305,0.59451,1.1126,0.92846,0.98317,0.98141,0.81948,0.67098,0.56123,0.95274,0.0004852,0.0004852,0.0004852
80,93.5952,0.80787,0.59709,1.10466,0.98377,0.91847,0.96401,0.79037,0.7262,0.71565,0.97482,0.0004786,0.0004786,0.0004786
81,94.7161,0.7997,0.6105,1.09633,0.96903,0.94821,0.95957,0.79572,0.71192,0.80441,0.96718,0.000472,0.000472,0.000472
82,95.8582,0.7879,0.58435,1.09658,0.95662,0.93939,0.96146,0.77833,0.7492,0.82565,0.98706,0.0004654,0.0004654,0.0004654
83,96.9854,0.82284,0.59878,1.11779,0.96127,0.93939,0.95644,0.76273,0.77925,0.80079,1.0035,0.0004588,0.0004588,0.0004588
84,98.1138,0.79807,0.60085,1.08801,0.94115,0.96919,0.95338,0.75181,0.79548,0.6497,1.01707,0.0004522,0.0004522,0.0004522
85,99.2598,0.79069,0.59922,1.09144,0.95381,0.9697,0.97199,0.785,0.72692,0.50103,0.98936,0.0004456,0.0004456,0.0004456
86,100.387,0.80869,0.62,1.10596,0.94206,0.9697,0.97578,0.76998,0.80102,0.52894,1.02336,0.000439,0.000439,0.000439
87,101.511,0.79325,0.59356,1.10638,0.94179,0.98069,0.9854,0.77104,0.84068,0.53299,1.04242,0.0004324,0.0004324,0.0004324
88,102.643,0.83403,0.61844,1.10299,0.94186,0.98181,0.98923,0.81202,0.71646,0.5025,0.97874,0.0004258,0.0004258,0.0004258
89,103.792,0.7372,0.57504,1.06569,0.95468,0.9697,0.99128,0.83548,0.62023,0.47799,0.94495,0.0004192,0.0004192,0.0004192
90,104.929,0.81486,0.59224,1.10233,0.9552,0.96919,0.98947,0.80564,0.70644,0.52549,0.97651,0.0004126,0.0004126,0.0004126
