epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,263.47,0.39785,0.63197,0.37566,0.95637,0,0.96776,0.97656,0.98946,0.92092,0.96776,0.97656,0.98946,0.90362,0.35505,0.65218,0.30946,0.94948,0,0.000604,0.000604,0.000604
62,267.687,0.36825,0.59277,0.35741,0.92965,0,0.95389,0.98438,0.9893,0.92813,0.95389,0.98438,0.9893,0.90584,0.34335,0.60054,0.29472,0.94127,0,0.0005974,0.0005974,0.0005974
63,271.807,0.3811,0.62322,0.34369,0.93632,0,0.96151,0.9759,0.99049,0.92522,0.96151,0.9759,0.99036,0.92279,0.36545,0.57133,0.29571,0.95418,0,0.0005908,0.0005908,0.0005908
64,276.113,0.40663,0.60874,0.34383,0.96194,0,0.96897,0.97582,0.9915,0.93936,0.96897,0.97582,0.99123,0.9095,0.33048,0.58288,0.27504,0.92898,0,0.0005842,0.0005842,0.0005842
65,280.439,0.3838,0.6013,0.3739,0.93873,0,0.96056,0.97656,0.99228,0.92421,0.96056,0.97656,0.99221,0.91765,0.36037,0.61114,0.29604,0.9706,0,0.0005776,0.0005776,0.0005776
66,284.616,0.42362,0.64696,0.38268,0.95207,0,0.9748,0.96875,0.9906,0.94166,0.9748,0.96875,0.9906,0.92291,0.34057,0.57861,0.29659,0.94027,0,0.000571,0.000571,0.000571
67,288.782,0.38582,0.57946,0.33963,0.91606,0,0.97916,0.97656,0.98755,0.92362,0.97916,0.97656,0.98755,0.91726,0.35355,0.55796,0.29726,0.95338,0,0.0005644,0.0005644,0.0005644
68,293.175,0.37408,0.55057,0.31572,0.92185,0,0.97603,0.97656,0.99051,0.92414,0.97603,0.97656,0.99051,0.91835,0.36081,0.53972,0.30535,0.951,0,0.0005578,0.0005578,0.0005578
69,297.173,0.37598,0.5685,0.32563,0.92125,0,0.96804,0.97656,0.99216,0.93067,0.96804,0.97656,0.99216,0.93488,0.35153,0.54009,0.29095,0.9472,0,0.0005512,0.0005512,0.0005512
70,301.257,0.37322,0.58233,0.3248,0.94536,0,0.98422,0.97463,0.99157,0.93765,0.98422,0.97463,0.99157,0.91172,0.33521,0.5755,0.279,0.93238,0,0.0005446,0.0005446,0.0005446
