epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
100,295.897,0.2931,0.46038,0.28328,0.82164,0,0.98453,0.96703,0.98238,0.90429,0.98453,0.96703,0.98238,0.88063,0.38581,0.7413,0.29286,0.87991,0,0.0003466,0.0003466,0.0003466
101,298.925,0.3227,0.54661,0.30426,0.84182,0,0.96642,0.96703,0.97664,0.89211,0.96642,0.96703,0.97664,0.88402,0.38185,0.71732,0.29641,0.88774,0,0.00034,0.00034,0.00034
102,301.923,0.32234,0.49724,0.28728,0.84387,0,0.93668,0.97539,0.97529,0.88918,0.93668,0.97539,0.97529,0.88514,0.40039,0.74035,0.31652,0.8931,0,0.0003334,0.0003334,0.0003334
103,304.989,0.35256,0.52771,0.31491,0.84311,0,0.96326,0.93407,0.97459,0.90073,0.96326,0.93407,0.97459,0.87893,0.39079,0.74189,0.32614,0.88441,0,0.0003268,0.0003268,0.0003268
104,308.059,0.31234,0.47804,0.29521,0.83334,0,0.94558,0.95466,0.97723,0.90107,0.94558,0.95466,0.97723,0.88181,0.37525,0.744,0.32276,0.88313,0,0.0003202,0.0003202,0.0003202
105,311.138,0.32161,0.49786,0.28825,0.82878,0,0.94333,0.95604,0.98005,0.89554,0.94333,0.95604,0.98005,0.87912,0.40032,0.81347,0.33569,0.90811,0,0.0003136,0.0003136,0.0003136
106,314.14,0.31712,0.46103,0.29304,0.8361,0,0.95133,0.95604,0.97942,0.90008,0.95133,0.95604,0.97942,0.87299,0.37703,0.77627,0.31905,0.89336,0,0.000307,0.000307,0.000307
107,317.155,0.31893,0.49315,0.2802,0.84752,0,0.94554,0.9539,0.97445,0.89738,0.94554,0.9539,0.97445,0.87415,0.3781,0.7826,0.31487,0.88524,0,0.0003004,0.0003004,0.0003004
108,320.218,0.30124,0.44185,0.28173,0.83981,0,0.94388,0.95604,0.97593,0.89211,0.94388,0.95604,0.97593,0.88271,0.38836,0.76399,0.30565,0.88936,0,0.0002938,0.0002938,0.0002938
109,323.229,0.29768,0.46314,0.27791,0.81878,0,0.95566,0.95604,0.97715,0.89303,0.95566,0.95604,0.97715,0.88845,0.39404,0.7497,0.31066,0.8892,0,0.0002872,0.0002872,0.0002872
110,326.257,0.31896,0.47888,0.2817,0.84246,0,0.98847,0.94196,0.97873,0.89493,0.98847,0.94196,0.97873,0.87773,0.39017,0.78083,0.29052,0.87875,0,0.0002806,0.0002806,0.0002806
111,329.265,0.30729,0.43717,0.28806,0.8489,0,0.97749,0.95432,0.97922,0.90014,0.97749,0.95432,0.97922,0.88202,0.37711,0.79064,0.28147,0.87278,0,0.000274,0.000274,0.000274
